Roster Month/Year,Start,End,Block Total,Flight,Origin,City_Origin,Country_Origin,Latitude_Origin,Longitude_Origin,Destination,City_Destination,Country_Destination,lat,lon,Aircraft Type,Rank,Distance_miles
Feb-2013,2013-02-16 08:18:00,2013-02-16 17:11:00,0.3701388888888889,VS301,DEL,Delhi,India,28.5665,77.103104,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,4190.6001196605
Feb-2013,2013-02-20 12:37:00,2013-02-20 22:05:00,0.3944444444444444,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,346.0,CC,4424.912901315729
Feb-2013,2013-02-22 02:28:00,2013-02-22 11:11:00,0.3631944444444444,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,4424.912901315729
Feb-2013,2013-02-25 16:22:00,2013-02-25 23:52:00,0.3125,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744.0,CC,3465.154979753485
Feb-2013,2013-02-28 02:10:00,2013-02-28 09:33:00,0.3076388888888889,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3465.154979753485
Mar-2013,2013-03-03 22:17:00,2013-03-04 05:03:00,0.2819444444444444,VS651,LHR,London,United Kingdom,51.4706,-0.461941,LOS,Lagos,Nigeria,6.577370166778564,3.321160078048706,346.0,CC,3100.247212605884
Mar-2013,2013-03-05 10:00:00,2013-03-05 16:35:00,0.2743055555555556,VS652,LOS,Lagos,Nigeria,6.577370166778564,3.321160078048706,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,3100.247212605884
Mar-2013,2013-03-13 21:00:00,2013-03-14 09:16:00,0.5111111111111111,VS603,LHR,London,United Kingdom,51.4706,-0.461941,CPT,Cape Town,South Africa,-33.9648017883,18.6016998291,343.0,CC,5993.979196705348
Mar-2013,2013-03-15 20:54:00,2013-03-16 08:56:00,0.5013888888888889,VS604,CPT,Cape Town,South Africa,-33.9648017883,18.6016998291,LHR,London,United Kingdom,51.4706,-0.461941,343.0,CC,5993.979196705348
Mar-2013,2013-03-20 12:50:00,2013-03-20 23:00:00,0.4236111111111111,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,346.0,CC,4424.912901315729
Mar-2013,2013-03-22 02:24:00,2013-03-22 10:27:00,0.3354166666666666,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,4424.912901315729
Mar-2013,2013-03-25 13:22:00,2013-03-25 20:44:00,0.3069444444444445,VS45,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,744.0,CC,3451.431109200727
Mar-2013,2013-03-27 00:19:00,2013-03-27 07:21:00,0.2930555555555556,VS46,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3451.431109200727
Mar-2013,2013-03-30 10:40:00,2013-03-30 19:31:00,0.36875,VS27,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,744.0,CC,4352.701532796484
Apr-2013,2013-03-31 22:12:00,2013-04-01 06:10:00,0.3319444444444444,VS28,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,4352.701532796484
Apr-2013,2013-04-04 22:03:00,2013-04-05 05:11:00,0.2972222222222222,VS657,LHR,London,United Kingdom,51.4706,-0.461941,ACC,Accra,Ghana,5.605189800262451,-0.1667860001325607,343.0,CC,3159.489317109437
Apr-2013,2013-04-06 10:00:00,2013-04-06 15:50:00,0.0,VS658,ACC,Accra,Ghana,5.605189800262451,-0.1667860001325607,LYS,Lyon,France,45.725556,5.081111,,CC,2780.4430123963316
Apr-2013,2013-04-05 18:12:00,2013-04-06 19:44:00,0.06388888888888888,VS658,LYS,Lyon,France,45.725556,5.081111,LHR,London,United Kingdom,51.4706,-0.461941,343.0,CC,470.99077170010025
Apr-2013,2013-04-09 10:33:00,2013-04-09 19:56:00,0.3909722222222222,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,346.0,CC,4424.912901315729
Apr-2013,2013-04-11 00:54:00,2013-04-11 09:37:00,0.3631944444444444,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,4424.912901315729
Apr-2013,2013-04-12 15:48:00,2013-04-12 00:00:00,0.3409722222222222,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744.0,CC,3465.154979753485
Apr-2013,2013-04-14 01:30:00,2013-04-14 08:07:00,0.2756944444444445,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3465.154979753485
Apr-2013,2013-04-19 13:00:00,2013-04-19 21:22:00,0.3486111111111111,VS45,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,744.0,CC,3451.431109200727
Apr-2013,2013-04-20 23:25:00,2013-04-21 05:53:00,0.2694444444444444,VS46,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3451.431109200727
Apr-2013,2013-04-26 21:14:00,2013-04-27 03:44:00,0.2708333333333333,VS651,LHR,London,United Kingdom,51.4706,-0.461941,LOS,Lagos,Nigeria,6.577370166778564,3.321160078048706,346.0,CC,3100.247212605884
Apr-2013,2013-04-28 09:05:00,2013-04-28 15:28:00,0.2659722222222222,VS652,LOS,Lagos,Nigeria,6.577370166778564,3.321160078048706,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,3100.247212605884
May-2013,2013-05-01 15:15:00,2013-05-01 22:37:00,0.3069444444444445,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744.0,CC,3465.154979753485
May-2013,2013-05-03 01:04:00,2013-05-03 08:31:00,0.3104166666666667,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3465.154979753485
May-2013,2013-05-11 08:26:00,2013-05-11 16:44:00,0.3458333333333333,VS33,LGW,London,United Kingdom,51.148102,-0.190278,ANU,Antigua,Antigua and Barbuda,17.1367,-61.792702,744.0,CC,4081.397053554673
May-2013,2013-05-12 21:29:00,2013-05-12 22:20:00,0.03541666666666667,VS88,ANU,Antigua,Antigua and Barbuda,17.1367,-61.792702,UVF,Hewandorra,Saint Lucia,13.7332,-60.952599,744.0,CC,240.6249195088281
May-2013,2013-05-12 23:34:00,2013-05-13 07:36:00,0.3347222222222222,VS88,UVF,Hewandorra,Saint Lucia,13.7332,-60.952599,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,4226.443645779878
May-2013,2013-05-17 10:29:00,2013-05-17 19:47:00,0.3875,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,744.0,CC,4424.912901315729
May-2013,2013-05-19 00:56:00,2013-05-19 09:27:00,0.3548611111111111,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,4424.912901315729
May-2013,2013-05-22 09:49:00,2013-05-22 19:31:00,0.4041666666666667,VS39,LHR,London,United Kingdom,51.4706,-0.461941,ORD,Chicago,United States,41.9786,-87.9048,343.0,CC,3952.811356138074
May-2013,2013-05-23 23:53:00,2013-05-24 07:30:00,0.3173611111111111,VS40,ORD,Chicago,United States,41.9786,-87.9048,LHR,London,United Kingdom,51.4706,-0.461941,343.0,CC,3952.811356138074
May-2013,2013-05-27 13:00:00,2013-05-27 20:38:00,0.3180555555555555,VS45,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,744.0,CC,3451.431109200727
May-2013,2013-05-28 23:40:00,2013-05-29 06:46:00,0.2958333333333333,VS46,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,744.0,CC,3451.431109200727
Jun-2013,2013-06-01 10:25:00,2013-06-01 21:08:00,0.4465277777777778,VS43,LGW,London,United Kingdom,51.148102,-0.190278,LAS,Las Vegas,United States,36.08010101,-115.1520004,744.0,CC,5252.974893823345
Jun-2013,2013-06-04 00:40:00,2013-06-04 10:35:00,0.4131944444444444,VS44,LAS,Las Vegas,United States,36.08010101,-115.1520004,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,5252.974893823345
Jun-2013,2013-06-06 21:55:00,2013-06-06 22:26:00,0.02152777777777778,VS601,LHR,London,United Kingdom,51.4706,-0.461941,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,0.0
Jun-2013,2013-06-06 22:53:00,2013-06-07 09:50:00,0.45625,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346.0,CC,5620.339088214339
Jun-2013,2013-06-08 18:56:00,2013-06-09 06:18:00,0.4736111111111111,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,5620.339088214339
Jun-2013,2013-06-16 10:08:00,2013-06-16 19:07:00,0.3743055555555556,VS27,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,744.0,CC,4352.701532796484
Jun-2013,2013-06-18 22:00:00,2013-06-19 05:55:00,0.3298611111111111,VS28,MCO,Orlando,United States,28.42939949035645,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,4352.701532796484
Jun-2013,2013-06-22 19:58:00,2013-06-23 06:28:00,0.4375,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346.0,CC,5620.339088214339
Jun-2013,2013-06-24 18:32:00,2013-06-25 05:38:00,0.4625,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,5620.339088214339
Jun-2013,2013-06-27 10:45:00,2013-06-27 20:09:00,0.3916666666666667,VS63,LGW,London,United Kingdom,51.148102,-0.190278,HAV,Havana,Cuba,22.98920059204102,-82.40910339355469,744.0,CC,4672.530908120893
Jul-2013,2013-07-01 23:38:00,2013-07-02 07:57:00,0.3465277777777778,VS64,HAV,Havana,Cuba,22.98920059204102,-82.40910339355469,LGW,London,United Kingdom,51.148102,-0.190278,744.0,CC,4672.530908120893
Jul-2013,2013-07-06 14:45:00,2013-07-07 02:36:00,0.49375,VS23,LHR,London,United Kingdom,51.4706,-0.461941,LAX,Los Angeles,United States,33.94250107,-118.4079971,346.0,CC,5456.0407285107085
Jul-2013,2013-07-09 04:56:00,2013-07-09 15:45:00,0.4506944444444445,VS24,LAX,Los Angeles,United States,33.94250107,-118.4079971,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,5456.0407285107085
Jul-2013,2013-07-13 21:15:00,2013-07-14 04:00:00,0.28125,VS651,LHR,London,United Kingdom,51.4706,-0.461941,LOS,Lagos,Nigeria,6.577370166778564,3.321160078048706,346.0,CC,3100.247212605884
Jul-2013,2013-07-15 08:56:00,2013-07-15 15:18:00,0.2652777777777778,VS652,LOS,Lagos,Nigeria,6.577370166778564,3.321160078048706,LHR,London,United Kingdom,51.4706,-0.461941,346.0,CC,3100.247212605884
Jul-2013,2013-07-20 19:19:00,2013-07-21 03:01:00,0.3208333333333334,VS25,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,333.0,CC,3451.431109200727
