Roster Month/Year,Start,End,Block Total,Flight,Origin,City_Origin,Country_Origin,Latitude_Origin,Longitude_Origin,Destination,City_Destination,Country_Destination,Latitude_Destination,Longitude_Destination,Aircraft Type,Rank
Feb-2013,2013-02-20 12:37:00,2013-02-20 22:05:00,0 days 09:28:00.000000000,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,346,CC
Feb-2013,2013-02-22 02:28:00,2013-02-22 11:11:00,0 days 08:43:00.000000000,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Feb-2013,2013-02-25 16:22:00,2013-02-25 23:52:00,0 days 07:30:00.000000000,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744,CC
Feb-2013,2013-02-28 02:10:00,2013-02-28 09:33:00,0 days 07:23:00.000000000,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Mar-2013,2013-03-03 22:17:00,2013-03-04 05:03:00,0 days 06:46:00.000000000,VS651,LHR,London,United Kingdom,51.4706,-0.461941,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,346,CC
Mar-2013,2013-03-05 10:00:00,2013-03-05 16:35:00,0 days 06:35:00.000000000,VS652,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Mar-2013,2013-03-13 21:00:00,2013-03-14 09:16:00,0 days 12:16:00.000000000,VS603,LHR,London,United Kingdom,51.4706,-0.461941,CPT,Cape Town,South Africa,-33.9648017883,18.6016998291,343,CC
Mar-2013,2013-03-15 20:54:00,2013-03-16 08:56:00,0 days 12:02:00.000000000,VS604,CPT,Cape Town,South Africa,-33.9648017883,18.6016998291,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
Mar-2013,2013-03-20 12:50:00,2013-03-20 23:00:00,0 days 10:10:00.000000000,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,346,CC
Mar-2013,2013-03-22 02:24:00,2013-03-22 10:27:00,0 days 08:03:00.000000000,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Mar-2013,2013-03-25 13:22:00,2013-03-25 20:44:00,0 days 07:22:00.000000000,VS45,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,744,CC
Mar-2013,2013-03-27 00:19:00,2013-03-27 07:21:00,0 days 07:02:00.000000000,VS46,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Mar-2013,2013-03-30 10:40:00,2013-03-30 19:31:00,0 days 08:51:00.000000000,VS27,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,744,CC
Apr-2013,2013-03-31 22:12:00,2013-04-01 06:10:00,0 days 07:58:00.000000000,VS28,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Apr-2013,2013-04-04 22:03:00,2013-04-05 05:11:00,0 days 07:08:00.000000000,VS657,LHR,London,United Kingdom,51.4706,-0.461941,ACC,Accra,Ghana,5.605189800262451,-0.16678600013256073,343,CC
Apr-2013,2013-04-06 10:00:00,2013-04-06 15:50:00,0 days 00:00:00.000000000,VS658,ACC,Accra,Ghana,5.605189800262451,-0.16678600013256073,LYS,Lyon,France,45.725556,5.081111,,CC
Apr-2013,2013-04-05 18:12:00,2013-04-06 19:44:00,0 days 01:32:00.000000000,VS658,LYS,Lyon,France,45.725556,5.081111,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
Apr-2013,2013-04-09 10:33:00,2013-04-09 19:56:00,0 days 09:23:00.000000000,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,346,CC
Apr-2013,2013-04-11 00:54:00,2013-04-11 09:37:00,0 days 08:43:00.000000000,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Apr-2013,2013-04-12 15:48:00,2013-04-12 00:00:00,0 days 08:11:00.000000000,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744,CC
Apr-2013,2013-04-14 01:30:00,2013-04-14 08:07:00,0 days 06:37:00.000000000,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Apr-2013,2013-04-19 13:00:00,2013-04-19 21:22:00,0 days 08:22:00.000000000,VS45,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,744,CC
Apr-2013,2013-04-20 23:25:00,2013-04-21 05:53:00,0 days 06:28:00.000000000,VS46,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Apr-2013,2013-04-26 21:14:00,2013-04-27 03:44:00,0 days 06:30:00.000000000,VS651,LHR,London,United Kingdom,51.4706,-0.461941,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,346,CC
Apr-2013,2013-04-28 09:05:00,2013-04-28 15:28:00,0 days 06:23:00.000000000,VS652,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
May-2013,2013-05-01 15:15:00,2013-05-01 22:37:00,0 days 07:22:00.000000000,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744,CC
May-2013,2013-05-03 01:04:00,2013-05-03 08:31:00,0 days 07:27:00.000000000,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
May-2013,2013-05-11 08:26:00,2013-05-11 16:44:00,0 days 08:18:00.000000000,VS33,LGW,London,United Kingdom,51.148102,-0.190278,ANU,Antigua,Antigua and Barbuda,17.1367,-61.792702,744,CC
May-2013,2013-05-12 21:29:00,2013-05-12 22:20:00,0 days 00:51:00.000000000,VS88,ANU,Antigua,Antigua and Barbuda,17.1367,-61.792702,UVF,Hewandorra,Saint Lucia,13.7332,-60.952599,744,CC
May-2013,2013-05-12 23:34:00,2013-05-13 07:36:00,0 days 08:02:00.000000000,VS88,UVF,Hewandorra,Saint Lucia,13.7332,-60.952599,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
May-2013,2013-05-17 10:29:00,2013-05-17 19:47:00,0 days 09:18:00.000000000,VS5,LHR,London,United Kingdom,51.4706,-0.461941,MIA,Miami,United States,25.79319953918457,-80.29060363769531,744,CC
May-2013,2013-05-19 00:56:00,2013-05-19 09:27:00,0 days 08:31:00.000000000,VS6,MIA,Miami,United States,25.79319953918457,-80.29060363769531,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
May-2013,2013-05-22 09:49:00,2013-05-22 19:31:00,0 days 09:42:00.000000000,VS39,LHR,London,United Kingdom,51.4706,-0.461941,ORD,Chicago,United States,41.9786,-87.9048,343,CC
May-2013,2013-05-23 23:53:00,2013-05-24 07:30:00,0 days 07:37:00.000000000,VS40,ORD,Chicago,United States,41.9786,-87.9048,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
May-2013,2013-05-27 13:00:00,2013-05-27 20:38:00,0 days 07:38:00.000000000,VS45,LHR,London,United Kingdom,51.4706,-0.461941,JFK,New York,United States,40.63980103,-73.77890015,744,CC
May-2013,2013-05-28 23:40:00,2013-05-29 06:46:00,0 days 07:06:00.000000000,VS46,JFK,New York,United States,40.63980103,-73.77890015,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Jun-2013,2013-06-01 10:25:00,2013-06-01 21:08:00,0 days 10:43:00.000000000,VS43,LGW,London,United Kingdom,51.148102,-0.190278,LAS,Las Vegas,United States,36.08010101,-115.15200039999999,744,CC
Jun-2013,2013-06-04 00:40:00,2013-06-04 10:35:00,0 days 09:55:00.000000000,VS44,LAS,Las Vegas,United States,36.08010101,-115.15200039999999,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Jun-2013,2013-06-06 21:55:00,2013-06-06 22:26:00,0 days 00:31:00.000000000,VS601,LHR,London,United Kingdom,51.4706,-0.461941,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Jun-2013,2013-06-06 22:53:00,2013-06-07 09:50:00,0 days 10:57:00.000000000,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346,CC
